     AGC/ObjID		  RA	    Dec     r        z     D[Mpc]    LogM*  LogMHI/M*  code (ALFALFA-only, noSDSS spec =1, SDSS-only=2, match=3)
  588017567097749622  178.6878   12.9590  17.27   0.0547   239.00   9.8638   0.1494    2
  588017702930022448  178.9033   11.9981  14.51   0.0206    93.07  10.5328  -1.0390    2
  588017702930022444  178.8770   11.9237  14.75   0.0210    94.85  10.4440  -0.6057    2
  588017702929891457  178.6487   11.8308  15.62   0.0389   171.53  10.2412  -0.5591    2
  588017704540307580  178.1515   13.1981  14.49   0.0212    95.81  10.3396  -1.1112    2
  588017567097356437  177.8650   12.9574  17.74   0.0539   235.70   9.7091   0.2267    2
  588017704540569694  178.6917   13.1698  17.50   0.0227   102.05   9.1226  -0.1265    2
  588017705077506254  178.9156   13.5413  17.28   0.0540   236.01  10.0588  -0.0271    2
  588017704540635190  178.8970   13.1052  15.24   0.0557   243.27  10.8572  -0.7170    2
  588017705077637251  179.1910   13.6594  16.07   0.0545   238.31  10.8073  -0.7762    2
  588017566561009785  179.0983   12.6068  17.23   0.0526   230.07  10.0908   0.1596    2
  588017704003895376  179.1826   12.6925  17.43   0.0526   230.27   9.6125   0.4359    2
  588017705077702787  179.3886   13.5938  16.41   0.0559   244.12  10.6703  -0.4844    2
  588017705077768227  179.4111   13.5607  16.64   0.0543   237.49  10.4510  -0.2994    2
  588017567634882702  179.4278   13.3974  17.13   0.0233   104.46   9.0755   0.1187    2
  588017566561271900  179.7473   12.5272  16.48   0.0435   191.28   9.9396  -0.1694    2
  588017705077899343  179.7147   13.6758  16.55   0.0441   193.91   9.9557  -0.0093    2
  588017704540897478  179.5020   13.2445  17.55   0.0555   242.45   9.6743   0.2928    2
  588017566561402946  179.9996   12.5055  16.64   0.0580   253.44  10.5784  -0.4312    2
  587735346962301052  179.6347   13.7198  14.95   0.0436   191.64  10.9679  -1.0740    2
  587738568164245616  179.2946   13.9866  16.43   0.0245   109.86   9.4260  -0.3190    2
  587735346962169956  179.3155   13.7536  17.32   0.0548   239.34  10.2691  -0.2582    2
  588017705077637207  179.0970   13.5743  16.35   0.0555   242.33  10.6747  -0.6007    2
  587738568163655823  177.9168   13.9153  17.14   0.0237   106.47   9.2279  -0.1702    2
  588017702930546838  180.1639   11.9909  17.16   0.0437   192.21   9.9287  -0.1095    2
  588017702931333208  181.9207   11.9532  17.72   0.0302   134.32   9.0930   0.3576    2
  588017702931202195  181.6696   12.0345  15.33   0.0048    24.97   8.7718  -1.0447    2
  588017703467614336  180.6108   12.2789  16.41   0.0415   182.64  10.3623  -0.5872    2
  588017703467614251  180.6054   12.3377  13.82   0.0406   178.48  11.4371  -1.5206    2
  588017703467614320  180.5853   12.2902  16.19   0.0400   176.10  10.0739  -0.2865    2
  588017566561665069  180.5607   12.4834  15.87   0.0402   177.10  10.4298  -0.6288    2
  588017703467483250  180.3272   12.3493  15.94   0.0582   254.11  10.8013  -0.5736    2
  588017567635275931  180.3497   13.3106  15.39   0.0232   104.33  10.3265  -1.2564    2
  588017567098536063  180.6809   12.9580  17.10   0.0232   103.99   9.2771  -0.3081    2
  588017705078358073  180.7975   13.7111  17.68   0.0501   219.30   9.6610   0.2817    2
  588017566561993040  181.3621   12.5448  17.17   0.0023     7.68   6.6631   0.0947    2
  588017566561992807  181.3714   12.5717  15.54   0.0229   103.03   9.8373  -0.6080    2
  588017567098929173  181.5592   13.0124  14.80   0.0423   186.06  11.0539  -1.2575    2
  588017567635996776  181.9202   13.4093  17.10   0.0577   252.01  10.3141  -0.2198    2
  587735346963087490  181.5028   13.8212  16.56   0.0214    96.40   9.2571  -0.1105    2
  588017702930612365  180.2730   11.8402  16.96   0.0438   192.37   9.9995  -0.3036    2
  588017566024597605  180.0884   12.0727  17.48   0.0403   177.49   9.5225   0.1336    2
  588017702930546808  180.0985   11.9350  16.28   0.0436   191.64  10.4460  -0.6823    2
  588017703468138589  181.7977   12.4541  16.51   0.0426   187.02  10.2525  -0.5382    2
  588017703467745393  180.9368   12.4178  17.72   0.0233   104.43   9.1642  -0.1776    2
  588017566024794222  180.6137   12.1041  17.31   0.0408   179.42   9.9875  -0.3354    2
  588017702930743443  180.5832   11.9309  15.97   0.0572   249.76  10.6077  -0.5564    2
  588017702930546711  180.1242   11.9923  14.31   0.0438   192.36  11.1398  -1.1833    2
  588017704004288678  180.1215   12.7654  15.32   0.0403   177.28  10.7532  -1.0495    2
  588017567098536059  180.6733   13.0595  17.52   0.0313   138.87   9.4266  -0.0695    2
  588017704541487252  180.8635   13.2738  16.91   0.0486   212.88  10.3002  -0.3099    2
  588017704004681876  181.0582   12.6836  16.61   0.0328   145.12   9.8833  -0.2345    2
  588017567098798247  181.2930   12.9977  15.90   0.0226   101.81   9.9653  -0.7683    2
  588017567635734598  181.3916   13.3532  16.06   0.0583   254.53  10.3424  -0.0698    2
  588017567635996783  181.9539   13.3853  16.40   0.0579   252.79  10.5175  -0.3458    2
  588017702930546812  180.1087   11.9960  16.23   0.0439   193.09  10.5325  -0.6732    2
  588017566024663133  180.2554   12.2314  17.74   0.0434   190.74   9.3606   0.3532    2
  588017566024728708  180.4476   12.1449  17.72   0.0389   171.66   9.5600   0.0983    2
  588017567098404877  180.2690   12.9844  17.53   0.0488   214.03   9.5531   0.2491    2
  588017567098405049  180.3590   12.9572  15.63   0.0480   210.57  10.8473  -0.9996    2
  588017702931202170  181.6122   11.9450  17.84   0.0425   186.86   9.6279   0.0669    2
  587735346962497758  180.1960   13.7969  17.42   0.0527   230.36  10.0404   0.0392    2
  587735346963284047  181.9810   13.8893  17.56   0.0573   250.14   9.7431   0.2090    2
  588017565489234499  183.7440   11.8639  17.21   0.0046    16.58   7.6754  -0.3735    2
  588017566026104851  183.6843   12.1808  12.77   0.0078    30.10  10.1740  -1.9741    2
  588017566562779280  183.2840   12.6386  17.72   0.0490   214.48   9.6594   0.1854    2
